Region,District,Variety,Age (Years),Rainfed/Irrigated,Soil Type,Intercropping,Pest/Disease Pressure,Fertilizer Use (kg/tree/year),Average Yield (Nuts/Tree/Year)
Intermediate Zone,Puttalam,Tall,9,Irrigated,Reddish Brown Earth,Cassava,Medium,0.9,54
Wet Zone,Matara,Tall,11,Irrigated,Sandy Loam,Pineapple,High,1.0,38
Dry Zone,Puttalam,Dwarf (CRISL 98),7,Irrigated,Sandy,Peanut,Low,1.0,79
Intermediate Zone,Puttalam,Dwarf (CRISL 98),7,Rainfed,Reddish Brown Earth,None,Medium,1.1,79
Dry Zone,Polonnaruwa,Tall,12,Rainfed,Sandy,None,Low,1.0,54
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),5,Rainfed,Loamy Sand,None,Low,0.6,57
Wet Zone,Kalutara,Dwarf (Gon Thembili),7,Rainfed,Clay Loam,None,Low,0.5,55
Intermediate Zone,Puttalam,Tall,13,Rainfed,Reddish Brown Earth,None,Low,0.8,61
Intermediate Zone,Puttalam,Tall,5,Rainfed,Reddish Brown Earth,None,Low,0.6,63
Wet Zone,Kalutara,Tall,6,Rainfed,Sandy Loam,None,Low,0.5,67
Wet Zone,Galle,Tall,11,Rainfed,Sandy Loam,None,Medium,0.4,39
Intermediate Zone,Puttalam,Tall,8,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,0.9,55
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,Low,0.9,69
Wet Zone,Kalutara,Tall,10,Rainfed,Clay Loam,None,High,0.5,65
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),7,Rainfed,Reddish Brown Earth,None,Low,1.0,68
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),5,Rainfed,Sandy,None,Low,0.4,71
Wet Zone,Matara,Dwarf (Gon Thembili),3,Irrigated,Sandy Loam,Pineapple,Low,0.8,104
Intermediate Zone,Puttalam,Tall,14,Rainfed,Reddish Brown Earth,None,Low,0.4,48
Dry Zone,Puttalam,Dwarf (CRISL 98),5,Rainfed,Sandy,None,Medium,0.4,60
Intermediate Zone,Puttalam,Tall,5,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.2,49
Wet Zone,Galle,Tall,14,Irrigated,Clay Loam,Banana,Low,1.0,63
Dry Zone,Polonnaruwa,Tall,10,Rainfed,Sandy,None,Low,1.1,28
Intermediate Zone,Puttalam,Tall,8,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.2,57
Dry Zone,Polonnaruwa,Dwarf (CRISL 98),7,Rainfed,Sandy,None,Low,0.9,86
Wet Zone,Galle,Dwarf (CRIC 60),4,Irrigated,Sandy Loam,Pineapple,Low,1.0,79
Dry Zone,Polonnaruwa,Tall,5,Rainfed,Loamy Sand,None,Medium,0.7,29
Dry Zone,Anuradhapura,Tall,7,Irrigated,Loamy Sand,None,Low,1.2,65
Intermediate Zone,Puttalam,Dwarf (CRIC 60),5,Irrigated,Reddish Brown Earth,None,Low,0.9,110
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Medium,0.8,81
Dry Zone,Anuradhapura,Tall,15,Irrigated,Loamy Sand,Peanut,Low,0.8,48
Wet Zone,Kalutara,Dwarf (Gon Thembili),7,Irrigated,Clay Loam,Banana,Low,1.0,66
Wet Zone,Galle,Dwarf (CRIC 60),4,Rainfed,Clay Loam,None,Medium,0.9,73
Wet Zone,Matara,Tall,15,Irrigated,Clay Loam,Banana,Low,1.2,50
Wet Zone,Matara,Dwarf (Gon Thembili),4,Rainfed,Sandy Loam,None,Medium,0.6,65
Dry Zone,Puttalam,Tall,10,Rainfed,Sandy,None,Low,1.0,62
Dry Zone,Anuradhapura,Tall,9,Rainfed,Sandy,None,High,1.2,55
Intermediate Zone,Puttalam,Tall,15,Irrigated,Reddish Brown Earth,Sweet Potato,High,0.9,71
Wet Zone,Matara,Tall,12,Rainfed,Clay Loam,None,Medium,0.6,58
Wet Zone,Kalutara,Dwarf (CRISL 98),3,Irrigated,Sandy Loam,Banana,Medium,0.9,86
Intermediate Zone,Puttalam,Tall,10,Rainfed,Reddish Brown Earth,None,Low,0.5,63
Dry Zone,Puttalam,Dwarf (Gon Thembili),7,Rainfed,Loamy Sand,None,Low,0.8,74
Dry Zone,Anuradhapura,Tall,7,Irrigated,Sandy,Peanut,Medium,0.9,76
Wet Zone,Kalutara,Tall,9,Rainfed,Sandy Loam,None,Low,0.5,46
Wet Zone,Galle,Tall,15,Irrigated,Sandy Loam,Banana,Low,1.2,66
Wet Zone,Kalutara,Tall,13,Irrigated,Clay Loam,Pineapple,Medium,1.0,83
Dry Zone,Anuradhapura,Dwarf (CRIC 60),4,Irrigated,Sandy,None,Low,0.9,93
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.0,87
Wet Zone,Galle,Dwarf (CRIC 60),6,Irrigated,Sandy Loam,None,Low,0.8,104
Intermediate Zone,Puttalam,Tall,12,Rainfed,Reddish Brown Earth,None,Low,1.2,36
Dry Zone,Anuradhapura,Dwarf (CRIC 60),5,Rainfed,Loamy Sand,None,Low,0.9,57
Wet Zone,Kalutara,Tall,6,Irrigated,Sandy Loam,Pineapple,Medium,1.1,37
Dry Zone,Anuradhapura,Tall,8,Rainfed,Loamy Sand,None,Medium,0.4,66
Intermediate Zone,Puttalam,Tall,15,Rainfed,Reddish Brown Earth,None,Low,0.6,74
Wet Zone,Matara,Tall,5,Rainfed,Sandy Loam,None,Low,0.6,44
Dry Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Loamy Sand,None,Low,1.1,82
Wet Zone,Galle,Tall,9,Rainfed,Sandy Loam,None,Medium,0.8,40
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Irrigated,Reddish Brown Earth,Cassava,High,0.9,101
Intermediate Zone,Kurunegala,Tall,11,Irrigated,Reddish Brown Earth,Cassava,Medium,0.9,44
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),3,Rainfed,Reddish Brown Earth,None,Low,1.2,72
Dry Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Sandy,None,Medium,0.6,70
Dry Zone,Anuradhapura,Tall,14,Rainfed,Sandy,None,Low,0.5,49
Wet Zone,Matara,Dwarf (CRIC 60),7,Irrigated,Clay Loam,Banana,High,1.0,114
Intermediate Zone,Kurunegala,Tall,10,Rainfed,Reddish Brown Earth,None,Medium,0.6,59
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,High,1.2,70
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,0.9,46
Intermediate Zone,Puttalam,Dwarf (CRISL 98),6,Rainfed,Reddish Brown Earth,None,Low,0.6,87
Intermediate Zone,Puttalam,Dwarf (CRIC 60),5,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,121
Intermediate Zone,Kurunegala,Tall,11,Rainfed,Reddish Brown Earth,None,Low,0.8,52
Dry Zone,Polonnaruwa,Tall,14,Rainfed,Loamy Sand,None,Medium,0.6,48
Dry Zone,Anuradhapura,Tall,5,Rainfed,Sandy,None,Low,0.7,38
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),6,Rainfed,Reddish Brown Earth,None,Low,0.6,80
Dry Zone,Polonnaruwa,Tall,11,Rainfed,Sandy,None,Medium,0.4,58
Wet Zone,Matara,Dwarf (CRISL 98),6,Rainfed,Sandy Loam,None,Medium,0.5,92
Intermediate Zone,Kurunegala,Tall,9,Rainfed,Reddish Brown Earth,None,Medium,1.1,41
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),5,Rainfed,Reddish Brown Earth,None,Low,0.6,91
Dry Zone,Anuradhapura,Tall,12,Irrigated,Sandy,None,Medium,0.8,56
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Irrigated,Sandy,Peanut,Low,0.9,91
Wet Zone,Kalutara,Tall,14,Rainfed,Clay Loam,None,Medium,0.7,47
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),3,Rainfed,Loamy Sand,None,Low,0.9,73
Intermediate Zone,Puttalam,Tall,12,Rainfed,Reddish Brown Earth,None,Low,0.5,62
Intermediate Zone,Kurunegala,Tall,7,Irrigated,Reddish Brown Earth,Cassava,Medium,1.2,49
Wet Zone,Matara,Dwarf (CRIC 60),5,Irrigated,Clay Loam,Banana,Low,0.9,107
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,Medium,1.1,61
Wet Zone,Galle,Tall,10,Rainfed,Clay Loam,None,High,0.6,70
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),6,Rainfed,Reddish Brown Earth,None,Medium,1.0,93
Dry Zone,Puttalam,Tall,14,Rainfed,Sandy,None,Low,0.6,34
Wet Zone,Galle,Tall,8,Rainfed,Clay Loam,None,Low,0.8,57
Wet Zone,Galle,Dwarf (CRIC 60),7,Rainfed,Sandy Loam,None,Medium,0.8,99
Dry Zone,Puttalam,Tall,14,Rainfed,Loamy Sand,None,Low,1.1,30
Wet Zone,Galle,Dwarf (Gon Thembili),3,Rainfed,Sandy Loam,None,Low,0.4,63
Dry Zone,Puttalam,Tall,7,Rainfed,Sandy,None,Medium,0.7,35
Intermediate Zone,Puttalam,Tall,15,Rainfed,Reddish Brown Earth,None,High,0.5,34
Intermediate Zone,Kurunegala,Tall,10,Rainfed,Reddish Brown Earth,None,Medium,0.4,47
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),4,Irrigated,Sandy,Peanut,High,0.9,80
Dry Zone,Puttalam,Tall,12,Rainfed,Sandy,None,Low,0.7,60
Wet Zone,Kalutara,Tall,5,Irrigated,Sandy Loam,Pineapple,High,1.1,53
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,Low,0.7,66
Wet Zone,Galle,Tall,6,Rainfed,Sandy Loam,None,Medium,0.7,36
Dry Zone,Polonnaruwa,Dwarf (CRISL 98),5,Rainfed,Loamy Sand,None,Low,0.8,77
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Irrigated,Sandy,None,Low,0.9,82
Wet Zone,Matara,Dwarf (CRISL 98),5,Irrigated,Sandy Loam,Banana,High,1.2,101
Wet Zone,Galle,Tall,5,Rainfed,Sandy Loam,None,High,0.5,52
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),7,Rainfed,Reddish Brown Earth,None,Medium,0.5,63
Wet Zone,Matara,Tall,11,Irrigated,Clay Loam,None,Medium,1.0,71
Wet Zone,Galle,Dwarf (CRIC 60),6,Rainfed,Sandy Loam,None,Low,0.5,61
Dry Zone,Anuradhapura,Tall,12,Rainfed,Sandy,None,Medium,0.6,51
Dry Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Sandy,None,Low,1.0,87
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),3,Irrigated,Reddish Brown Earth,None,Low,0.9,111
Intermediate Zone,Kurunegala,Tall,5,Rainfed,Reddish Brown Earth,None,Low,0.4,49
Dry Zone,Anuradhapura,Dwarf (CRISL 98),4,Rainfed,Loamy Sand,None,High,0.5,89
Dry Zone,Puttalam,Tall,5,Rainfed,Sandy,None,Medium,0.9,34
Wet Zone,Matara,Tall,10,Rainfed,Sandy Loam,None,High,0.7,61
Wet Zone,Matara,Tall,11,Rainfed,Clay Loam,None,Medium,0.8,57
Dry Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Sandy,None,Medium,0.5,65
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),7,Rainfed,Reddish Brown Earth,None,Low,0.6,80
Wet Zone,Kalutara,Tall,5,Irrigated,Sandy Loam,Banana,Low,0.8,58
Wet Zone,Galle,Tall,7,Rainfed,Sandy Loam,None,Medium,0.5,38
Wet Zone,Kalutara,Tall,12,Rainfed,Clay Loam,None,Low,0.5,38
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),7,Irrigated,Sandy,Peanut,Medium,1.1,77
Intermediate Zone,Puttalam,Tall,7,Rainfed,Reddish Brown Earth,None,High,0.9,48
Wet Zone,Matara,Dwarf (Gon Thembili),7,Irrigated,Sandy Loam,Banana,Medium,0.9,76
Dry Zone,Polonnaruwa,Tall,12,Rainfed,Sandy,None,Low,0.9,30
Wet Zone,Matara,Tall,13,Irrigated,Clay Loam,Banana,Medium,0.9,40
Intermediate Zone,Puttalam,Tall,14,Irrigated,Reddish Brown Earth,None,Low,1.1,62
Wet Zone,Matara,Tall,13,Irrigated,Sandy Loam,Pineapple,Medium,1.0,42
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),6,Rainfed,Reddish Brown Earth,None,Medium,0.9,74
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),6,Rainfed,Reddish Brown Earth,None,High,1.2,87
Wet Zone,Matara,Tall,10,Rainfed,Sandy Loam,None,Medium,1.1,66
Dry Zone,Polonnaruwa,Tall,15,Rainfed,Sandy,None,Low,0.4,30
Wet Zone,Galle,Tall,14,Irrigated,Sandy Loam,Pineapple,Low,1.2,80
Wet Zone,Kalutara,Dwarf (Gon Thembili),3,Irrigated,Sandy Loam,None,High,1.2,101
Wet Zone,Matara,Dwarf (CRIC 60),4,Irrigated,Clay Loam,Banana,Low,1.1,87
Wet Zone,Matara,Dwarf (CRIC 60),6,Rainfed,Sandy Loam,None,Medium,0.3,85
Intermediate Zone,Kurunegala,Tall,11,Rainfed,Reddish Brown Earth,None,Low,0.5,38
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),3,Irrigated,Reddish Brown Earth,Cassava,Medium,0.9,86
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Low,0.5,57
Intermediate Zone,Puttalam,Tall,14,Rainfed,Reddish Brown Earth,None,Low,1.1,71
Wet Zone,Kalutara,Tall,9,Rainfed,Clay Loam,None,Medium,0.5,77
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),5,Rainfed,Sandy,None,Low,0.6,57
Wet Zone,Matara,Tall,15,Rainfed,Sandy Loam,None,Low,0.6,66
Wet Zone,Galle,Dwarf (CRIC 60),5,Rainfed,Sandy Loam,None,Medium,0.8,94
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Medium,0.5,103
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),4,Irrigated,Reddish Brown Earth,None,High,0.8,101
Intermediate Zone,Puttalam,Dwarf (CRIC 60),4,Rainfed,Reddish Brown Earth,None,Medium,0.7,78
Dry Zone,Anuradhapura,Tall,7,Irrigated,Loamy Sand,Peanut,Low,1.1,43
Wet Zone,Galle,Tall,13,Rainfed,Clay Loam,None,Low,0.5,47
Intermediate Zone,Puttalam,Tall,14,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.0,72
Wet Zone,Matara,Dwarf (Gon Thembili),6,Rainfed,Sandy Loam,None,Medium,0.3,55
Dry Zone,Anuradhapura,Tall,10,Rainfed,Sandy,None,High,1.0,38
Wet Zone,Matara,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,High,0.4,94
Intermediate Zone,Puttalam,Dwarf (CRISL 98),3,Irrigated,Reddish Brown Earth,None,Medium,1.1,106
Wet Zone,Matara,Dwarf (CRIC 60),5,Irrigated,Clay Loam,Banana,Medium,1.1,88
Dry Zone,Anuradhapura,Dwarf (CRIC 60),7,Irrigated,Loamy Sand,Peanut,Low,1.0,84
Wet Zone,Galle,Dwarf (CRISL 98),3,Rainfed,Sandy Loam,None,High,1.0,67
Wet Zone,Galle,Dwarf (CRIC 60),3,Rainfed,Sandy Loam,None,Medium,0.5,61
Wet Zone,Galle,Tall,9,Rainfed,Sandy Loam,None,Low,0.9,67
Wet Zone,Kalutara,Tall,8,Rainfed,Sandy Loam,None,Medium,0.8,36
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),5,Irrigated,Loamy Sand,None,Medium,1.0,98
Intermediate Zone,Puttalam,Tall,13,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.2,63
Wet Zone,Kalutara,Tall,10,Rainfed,Sandy Loam,None,Medium,0.3,30
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),5,Irrigated,Sandy,None,Low,1.1,93
Wet Zone,Matara,Tall,7,Rainfed,Sandy Loam,None,Low,0.4,49
Dry Zone,Puttalam,Tall,10,Rainfed,Sandy,None,Low,0.7,31
Dry Zone,Polonnaruwa,Tall,9,Rainfed,Loamy Sand,None,Medium,0.8,35
Dry Zone,Puttalam,Dwarf (CRIC 60),4,Irrigated,Loamy Sand,Peanut,Low,0.9,114
Dry Zone,Puttalam,Tall,14,Irrigated,Sandy,None,Low,0.9,57
Wet Zone,Matara,Dwarf (CRIC 60),4,Rainfed,Clay Loam,None,Medium,0.6,77
Intermediate Zone,Kurunegala,Tall,15,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.0,43
Dry Zone,Anuradhapura,Tall,8,Rainfed,Loamy Sand,None,Medium,0.7,29
Intermediate Zone,Puttalam,Tall,9,Rainfed,Reddish Brown Earth,None,Medium,1.0,64
Wet Zone,Matara,Dwarf (CRIC 60),7,Rainfed,Clay Loam,None,High,0.4,77
Wet Zone,Matara,Dwarf (Gon Thembili),7,Rainfed,Sandy Loam,None,Low,0.8,63
Dry Zone,Puttalam,Tall,5,Rainfed,Loamy Sand,None,Medium,1.1,28
Dry Zone,Puttalam,Tall,8,Rainfed,Sandy,None,Low,0.3,55
Dry Zone,Polonnaruwa,Tall,13,Irrigated,Sandy,None,High,1.0,35
Dry Zone,Anuradhapura,Dwarf (CRIC 60),4,Rainfed,Loamy Sand,None,High,1.2,92
Dry Zone,Puttalam,Tall,13,Irrigated,Sandy,Cowpea,Low,1.2,73
Intermediate Zone,Puttalam,Tall,7,Irrigated,Reddish Brown Earth,Cassava,Low,0.9,58
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),7,Rainfed,Reddish Brown Earth,None,High,1.0,70
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),7,Rainfed,Sandy,None,Low,0.5,81
Wet Zone,Kalutara,Tall,13,Rainfed,Clay Loam,None,High,0.5,75
Wet Zone,Galle,Dwarf (CRISL 98),7,Rainfed,Clay Loam,None,Low,0.4,99
Wet Zone,Kalutara,Tall,11,Irrigated,Sandy Loam,Banana,Medium,1.0,61
Dry Zone,Polonnaruwa,Tall,9,Irrigated,Loamy Sand,Peanut,Low,0.9,51
Wet Zone,Kalutara,Dwarf (CRIC 60),6,Rainfed,Sandy Loam,None,High,0.7,83
Wet Zone,Galle,Tall,15,Rainfed,Clay Loam,None,Medium,0.5,59
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,1.1,59
Wet Zone,Kalutara,Tall,5,Irrigated,Sandy Loam,Banana,High,1.1,59
Wet Zone,Galle,Dwarf (CRIC 60),5,Rainfed,Clay Loam,None,Medium,1.1,86
Intermediate Zone,Kurunegala,Tall,6,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.1,42
Wet Zone,Kalutara,Tall,8,Rainfed,Clay Loam,None,Medium,1.0,48
Wet Zone,Kalutara,Tall,6,Rainfed,Sandy Loam,None,High,0.4,65
Wet Zone,Kalutara,Tall,9,Rainfed,Sandy Loam,None,High,0.9,61
Intermediate Zone,Puttalam,Dwarf (CRISL 98),7,Rainfed,Reddish Brown Earth,None,Low,0.8,97
Dry Zone,Anuradhapura,Dwarf (CRISL 98),7,Rainfed,Sandy,None,Low,0.5,80
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),5,Rainfed,Reddish Brown Earth,None,Medium,0.4,99
Intermediate Zone,Kurunegala,Tall,12,Irrigated,Reddish Brown Earth,None,Medium,1.0,40
Wet Zone,Kalutara,Dwarf (CRISL 98),6,Rainfed,Sandy Loam,None,Medium,0.5,94
Intermediate Zone,Kurunegala,Tall,6,Rainfed,Reddish Brown Earth,None,High,0.8,65
Dry Zone,Puttalam,Dwarf (CRISL 98),7,Rainfed,Sandy,None,Medium,0.9,77
Wet Zone,Matara,Tall,11,Rainfed,Clay Loam,None,Low,0.4,77
Dry Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Sandy,None,Medium,0.6,65
Wet Zone,Galle,Tall,8,Rainfed,Clay Loam,None,Medium,0.9,54
Dry Zone,Anuradhapura,Tall,5,Irrigated,Sandy,None,Low,1.2,59
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),7,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,101
Wet Zone,Matara,Dwarf (CRIC 60),6,Irrigated,Sandy Loam,Pineapple,Medium,1.2,98
Wet Zone,Matara,Tall,15,Irrigated,Sandy Loam,Pineapple,Low,1.0,55
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),3,Irrigated,Sandy,None,High,0.9,95
Wet Zone,Matara,Tall,5,Irrigated,Sandy Loam,Pineapple,Medium,0.9,70
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,Low,0.3,51
Wet Zone,Kalutara,Tall,12,Rainfed,Clay Loam,None,Medium,0.7,44
Dry Zone,Polonnaruwa,Tall,12,Rainfed,Sandy,None,High,0.8,39
Wet Zone,Kalutara,Tall,5,Rainfed,Clay Loam,None,High,0.9,63
Dry Zone,Puttalam,Tall,12,Rainfed,Loamy Sand,None,Low,0.8,50
Dry Zone,Anuradhapura,Tall,11,Rainfed,Sandy,None,Low,0.8,37
Wet Zone,Galle,Dwarf (CRISL 98),3,Rainfed,Sandy Loam,None,High,0.9,74
Dry Zone,Puttalam,Dwarf (CRISL 98),5,Rainfed,Sandy,None,Medium,0.5,68
Wet Zone,Kalutara,Tall,11,Rainfed,Sandy Loam,None,Low,0.5,54
Wet Zone,Matara,Tall,8,Irrigated,Sandy Loam,Banana,Medium,1.0,60
Dry Zone,Anuradhapura,Tall,7,Irrigated,Sandy,None,Low,1.0,55
Dry Zone,Anuradhapura,Tall,12,Rainfed,Sandy,None,Low,0.4,27
Intermediate Zone,Kurunegala,Tall,10,Rainfed,Reddish Brown Earth,None,Medium,0.7,50
Wet Zone,Kalutara,Tall,11,Rainfed,Sandy Loam,None,High,0.9,58
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Irrigated,Reddish Brown Earth,Cassava,Low,1.0,110
Dry Zone,Puttalam,Dwarf (CRISL 98),4,Rainfed,Loamy Sand,None,Low,1.2,64
Dry Zone,Puttalam,Tall,8,Rainfed,Sandy,None,Medium,0.8,49
Dry Zone,Anuradhapura,Tall,9,Irrigated,Sandy,Peanut,Low,1.0,52
Dry Zone,Puttalam,Tall,11,Irrigated,Sandy,Cowpea,Medium,0.8,48
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Low,0.5,67
Wet Zone,Galle,Tall,9,Rainfed,Sandy Loam,None,Medium,0.7,39
Wet Zone,Galle,Tall,8,Rainfed,Sandy Loam,None,Low,0.9,64
Intermediate Zone,Kurunegala,Tall,11,Rainfed,Reddish Brown Earth,None,Low,0.8,59
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),7,Irrigated,Reddish Brown Earth,Cassava,Low,0.9,82
